,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
40,Davis's Drug Guide,MEDICAL,3.9,272,6.4,"50,000+",Free,0.0,Everyone,Medical,"December 11, 2017",2.7.36,4.1 and up
42,Angry Birds 2,GAME,4.6,3883589,57.0,"100,000,000+",Free,0.0,Everyone,Casual,"July 26, 2018",2.21.1,4.1 and up
44,DT future1 cam,TOOLS,1.0,1,24.0,50+,Free,0.0,Everyone,Tools,"March 27, 2018",3.1,2.2 and up
45,BZ Reminder,BUSINESS,4.7,41625,5.4,"1,000,000+",Free,0.0,Everyone,Business,"December 21, 2017",2.3.4,4.1 and up
46,bz Basellandschaftliche News,NEWS_AND_MAGAZINES,2.8,33,33.0,"1,000+",Free,0.0,Everyone,News & Magazines,"June 6, 2018",1.4.0,5.0 and up
47,English Dictionary - Offline,BOOKS_AND_REFERENCE,4.4,341234,30.0,"10,000,000+",Free,0.0,Everyone 10+,Books & Reference,"March 20, 2018",3.9.1,4.2 and up
48,UC Browser Mini -Tiny Fast Private & Secure,COMMUNICATION,4.4,3648765,3.3,"100,000,000+",Free,0.0,Teen,Communication,"July 18, 2018",11.4.0,4.0 and up
49,Loreal - BA Makeup,TOOLS,1.9,8,6.7,"1,000+",Free,0.0,Everyone,Tools,"April 18, 2018",1.1.1,4.0.3 and up
50,Runner 3d like,GAME,4.5,559,32.0,"100,000+",Free,0.0,Everyone 10+,Action,"August 3, 2018",1.0.7,4.0 and up
51,Army of Heroes,FAMILY,4.5,85015,46.0,"1,000,000+",Free,0.0,Everyone 10+,Strategy,"August 1, 2018",1.03.06,4.0 and up
53,Codes for GTA San Andreas,FAMILY,3.8,12414,13.0,"1,000,000+",Free,0.0,Everyone,Entertainment,"August 4, 2017",1.0.0,4.1 and up
55,M-Sight Pro,VIDEO_PLAYERS,3.3,30,15.0,"5,000+",Free,0.0,Everyone,Video Players & Editors,"July 25, 2018",3.1.0.1-r4,4.0 and up
56,"Ruler & Area Measurement (cm, inch)",TOOLS,4.3,10,8.2,"10,000+",Free,0.0,Everyone,Tools,"July 28, 2017",1.2,4.1 and up
60,FH App,BUSINESS,4.9,27,6.0,100+,Free,0.0,Everyone,Business,"July 26, 2018",1.0.90,4.0 and up
61,BC Navigator,FAMILY,4.4,21,32.0,"1,000+",Free,0.0,Everyone,Education,"May 10, 2018",3.2,4.0.3 and up
62,G-SHOCK Connected,LIFESTYLE,3.0,543,94.0,"50,000+",Free,0.0,Everyone,Lifestyle,"July 2, 2018",1.4.1(0629A),5.0 and up
63,COOKING MAMA Let's Cook!,FAMILY,4.3,528917,59.0,"10,000,000+",Free,0.0,Everyone,Educational;Pretend Play,"July 26, 2018",1.38.0,4.1 and up
64,Moto File Manager,TOOLS,4.1,38655,5.9,"10,000,000+",Free,0.0,Everyone,Tools,"February 1, 2018",v3.7.93,5.0 and up
66,"News-Journal-Daytona Beach, FL",NEWS_AND_MAGAZINES,4.5,76,7.8,"5,000+",Free,0.0,Everyone,News & Magazines,"July 3, 2018",5.0,4.4 and up
68,"Mind Map AR, Augmented Reality ARCore Mind Mapping",PRODUCTIVITY,4.2,29,35.0,"5,000+",Free,0.0,Everyone,Productivity,"July 26, 2018",1.23,7.0 and up
70,NoteToDo. Notes. To do list,PRODUCTIVITY,4.5,57449,5.0,"1,000,000+",Free,0.0,Everyone,Productivity,"August 4, 2018",1.2.187-83,4.0 and up
71,AC Remote for O General - NOW FREE,TOOLS,3.7,274,26.0,"50,000+",Free,0.0,Everyone,Tools,"July 30, 2018",6.1.7,4.2 and up
72,Standard Chartered Mobile (BW),FINANCE,4.4,96,7.2,"10,000+",Free,0.0,Everyone,Finance,"August 5, 2018",2.9,4.0 and up
74,Digital Falak,TOOLS,4.7,3408,15.0,"50,000+",Free,0.0,Everyone,Tools,"May 30, 2018",2.1.1,4.1 and up
75,Hum Ek Hain 2.02,SOCIAL,5.0,2,1.8,10+,Free,0.0,Teen,Social,"March 18, 2018",1.0,5.0 and up
76,BK Video Status,FAMILY,5.0,13,2.1,100+,Free,0.0,Everyone,Entertainment,"July 7, 2018",2.3,4.4 and up
77,Sisense Mobile BI,BUSINESS,4.9,23,28.0,"1,000+",Free,0.0,Everyone,Business,"April 30, 2018",2.4.1,4.1 and up
78,Calcium Pro,MEDICAL,3.4,77,9.9,"5,000+",Paid,2.99,Everyone,Medical,"April 18, 2017",1.6.2,4.0.3 and up
79,Hotspot Shield Free VPN Proxy & Wi-Fi Security,TOOLS,4.2,1116393,8.2,"50,000,000+",Free,0.0,Everyone,Tools,"August 6, 2018",6.1.0,4.1 and up
80,Account Class-12 Solutions (D K Goel) Vol-1,FAMILY,4.4,708,33.0,"50,000+",Free,0.0,Everyone,Education,"February 12, 2018",1.0.0,3.0 and up
81,Real Gangster Crime,GAME,4.3,285814,84.0,"10,000,000+",Free,0.0,Teen,Action,"June 26, 2018",3.5,4.0 and up
83,EP Research Service,BOOKS_AND_REFERENCE,4.7,14,27.0,"1,000+",Free,0.0,Everyone,Books & Reference,"March 5, 2018",1.9,4.1 and up
84,Disaster Will Strike,FAMILY,4.5,14692,45.0,"1,000,000+",Free,0.0,Everyone,Puzzle,"July 19, 2018",1.173.126,4.1 and up
85,Room Painting Ideas,HOUSE_AND_HOME,4.0,4450,7.6,"1,000,000+",Free,0.0,Everyone,House & Home,"March 17, 2015",1.7,3.0 and up
87,Radiology CT Viewer,MEDICAL,3.6,35,88.0,"10,000+",Free,0.0,Everyone,Medical,"January 20, 2018",2,4.0 and up
88,RT News (Russia Today),NEWS_AND_MAGAZINES,4.6,56524,14.0,"1,000,000+",Free,0.0,Teen,News & Magazines,"August 6, 2018",3.5.13,4.0.3 and up
89,Timely Alarm Clock,LIFESTYLE,4.3,258717,9.4,"10,000,000+",Free,0.0,Everyone,Lifestyle,"September 25, 2017",1.3.1,4.0.3 and up
90,New Holland Agriculture T5 EC,PRODUCTIVITY,4.6,12,15.0,"1,000+",Free,0.0,Everyone,Productivity,"February 24, 2017",1.2,4.0.3 and up
91,Satellite AR,BOOKS_AND_REFERENCE,4.1,9636,0.0908203125,"1,000,000+",Free,0.0,Everyone,Books & Reference,"September 22, 2011",2.4,2.1 and up
92,"HD Video Player (wmv,avi,mp4,flv,av,mpg,mkv)2017",VIDEO_PLAYERS,3.3,171,4.8,"10,000+",Free,0.0,Everyone,Video Players & Editors,"August 10, 2017",1.1,4.1 and up
95,White Noise Baby,LIFESTYLE,4.5,10544,44.0,"1,000,000+",Free,0.0,Everyone,Lifestyle,"June 18, 2018",5.3,4.1 and up
96,Super Ear Super Hearing,MEDICAL,4.0,122,0.95703125,"10,000+",Free,0.0,Everyone,Medical,"July 13, 2018",1.4,4.0 and up
97,Avast Mobile Security 2018 - Antivirus & App Lock,TOOLS,4.5,5180480,26.0,"100,000,000+",Free,0.0,Everyone,Tools,"August 1, 2018",6.11.4,4.1 and up
98,TeamWard – live help for LoL,FAMILY,4.8,3136,2.7,"100,000+",Free,0.0,Everyone,Entertainment,"June 27, 2018",2.19.6,4.0.3 and up
99,Please Don't Touch Anything 3D,FAMILY,4.2,146,20.0,"5,000+",Paid,5.99,Teen,Puzzle,"December 7, 2016",1.1,4.4 and up
100,Nurse Grid,MEDICAL,4.5,1686,15.0,"100,000+",Free,0.0,Everyone,Medical,"July 30, 2018",2.9,4.4 and up
101,CMB Free Dating App,DATING,4.0,48845,40.0,"1,000,000+",Free,0.0,Mature 17+,Dating,"August 1, 2018",4.19.0.2320,4.4 and up
102,DL Image Manager,PRODUCTIVITY,5.0,2,1.7,10+,Paid,0.99,Everyone,Productivity,"July 29, 2018",1.0.5,4.0 and up
103,Lock Screen Phone X Style OS 11,TOOLS,4.4,1166,13.0,"100,000+",Free,0.0,Everyone,Tools,"March 26, 2018",8.8,4.3 and up
104,"Just a Line - Draw Anywhere, with AR",FAMILY,4.1,1152,2.7,"100,000+",Free,0.0,Everyone,Entertainment,"May 30, 2018",2.0.0,7.0 and up
106,Leo and Tig,FAMILY,4.5,47644,27.0,"1,000,000+",Free,0.0,Everyone,Adventure;Action & Adventure,"May 31, 2018",10.180530,4.0.3 and up
108,CT Neck,MEDICAL,4.4,7,8.9,"1,000+",Free,0.0,Everyone,Medical,"January 20, 2018",2.0,4.0 and up
109,Lab Values + Medical Reference,MEDICAL,4.5,133,2.8,"10,000+",Paid,2.99,Everyone,Medical,"August 2, 2014",3.0,2.3 and up
110,I Am Wizard,FAMILY,4.2,1493,57.0,"100,000+",Free,0.0,Everyone,Strategy,"April 1, 2018",1.0.9,4.1 and up
111,Fruit Block - Puzzle Legend,GAME,4.6,125647,33.0,"10,000,000+",Free,0.0,Everyone,Casual,"July 23, 2018",60,4.1 and up
112,Lookout Security & Antivirus,TOOLS,4.4,951413,13.0,"100,000,000+",Free,0.0,Everyone,Tools,"July 31, 2018",10.23.2-964159b,4.4 and up
113,Fields of Battle,GAME,4.1,71476,50.0,"1,000,000+",Free,0.0,Everyone 10+,Action,"April 21, 2018",2.14,4.0 and up
114,Little Big City 2,FAMILY,4.4,344383,30.0,"10,000,000+",Free,0.0,Everyone,Casual,"March 20, 2018",9.2.4,4.0.3 and up
115,FG On-The-Go,TOOLS,4.9,55,25.0,"1,000+",Free,0.0,Everyone,Tools,"June 29, 2018",2.01.0.2,4.1 and up
116,Free & Premium VPN - FinchVPN,TOOLS,4.2,19096,10.0,"1,000,000+",Free,0.0,Everyone,Tools,"July 5, 2018",2.0.2,4.1 and up
117,Browsery by Barnes & Noble,BOOKS_AND_REFERENCE,4.7,146,34.0,"5,000+",Free,0.0,Everyone,Books & Reference,"April 30, 2018",1.1.3,4.4 and up
118,Toys Defense: Horror Land,FAMILY,3.8,168,24.0,"10,000+",Free,0.0,Everyone,Strategy,"March 1, 2017",1.2.2,4.0.3 and up
119,Zenefits,BUSINESS,4.2,296,14.0,"50,000+",Free,0.0,Everyone,Business,"June 15, 2018",3.2.1,4.1 and up
120,Easy Hotspot Ad Free,TOOLS,5.0,2,3.3,10+,Paid,0.99,Everyone,Tools,"July 26, 2018",1.05,4.0 and up
121,"Messages, Text and Video Chat for Messenger",SOCIAL,4.4,49173,4.0,"10,000,000+",Free,0.0,Everyone,Social,"June 4, 2018",1.24,4.1 and up
122,감성학원 BL 첫사랑,COMICS,4.4,190,34.0,"10,000+",Free,0.0,Everyone,Comics,"November 17, 2017",3.2.1,3.0 and up
124,i am EB,PHOTOGRAPHY,5.0,1,5.4,10+,Free,0.0,Teen,Photography,"February 1, 2017",1.0,4.1 and up
125,CityBus Lviv,AUTO_AND_VEHICLES,4.6,534,5.7,"10,000+",Free,0.0,Everyone,Auto & Vehicles,"July 8, 2018",1.9.1,4.0.3 and up
126,Teen Patti by BL Games,GAME,4.1,496,39.0,"100,000+",Free,0.0,Teen,Card,"January 31, 2017",1.3.0,2.3.3 and up
127,Ultimate Ab & Core Workouts,HEALTH_AND_FITNESS,4.7,55571,12.0,"1,000,000+",Free,0.0,Everyone,Health & Fitness,"February 21, 2018",1.23,4.0 and up
129,Video Downloader - for Instagram Repost App,VIDEO_PLAYERS,4.8,332623,4.6,"10,000,000+",Free,0.0,Everyone,Video Players & Editors,"July 27, 2018",1.1.58,4.1 and up
130,Solitaire TriPeaks,GAME,4.5,446434,52.0,"10,000,000+",Free,0.0,Everyone,Card,"August 1, 2018",4.6.2.46103,4.0.3 and up
131,Gun Strike Shoot,GAME,4.1,94761,17.0,"10,000,000+",Free,0.0,Teen,Action,"February 21, 2017",1.1.4,2.3 and up
132,Snake VS Block,GAME,4.2,422244,32.0,"50,000,000+",Free,0.0,Teen,Arcade,"April 23, 2018",1.24,4.1 and up
134,Rope Hero Return of a Legend,GAME,4.3,9951,96.0,"1,000,000+",Free,0.0,Mature 17+,Arcade,"August 26, 2016",1.0,2.3 and up
135,ADMIRALTY H-Note,BUSINESS,4.5,176,19.0,"10,000+",Free,0.0,Everyone,Business,"October 25, 2016",2.0,5.0 and up
136,DW Event,EVENTS,4.3,9,39.0,"1,000+",Free,0.0,Everyone,Events,"May 29, 2018",2.32.2,4.1 and up
137,"U - Webinars, Meetings & Messenger",COMMUNICATION,4.1,6601,31.0,"500,000+",Free,0.0,Everyone,Communication,"July 2, 2018",4.7.0,4.1 and up
138,OpenGL ES Extensions - The OpenGL Utility,TOOLS,4.2,513,2.0,"50,000+",Free,0.0,Everyone,Tools,"May 6, 2018",5.0.5,4.0 and up
140,My Little Pony: Harmony Quest,FAMILY,4.1,148295,26.0,"10,000,000+",Free,0.0,Everyone,Casual;Action & Adventure,"March 5, 2018",1.6,4.1 and up
141,Automatic Call Recorder,TOOLS,4.3,1648515,7.1,"100,000,000+",Free,0.0,Everyone,Tools,"August 2, 2018",5.42.1,2.3 and up
143,imo beta free calls and text,COMMUNICATION,4.3,659395,11.0,"100,000,000+",Free,0.0,Everyone,Communication,"June 7, 2018",9.8.000000010492,4.0 and up
144,Barcelona Calendar,SPORTS,4.4,670,3.1,"10,000+",Free,0.0,Everyone,Sports,"November 17, 2017",2.2,4.0.3 and up
146,"K-Spapp, the K-Space app",FAMILY,4.8,39,3.6,"1,000+",Free,0.0,Everyone,Education,"February 9, 2017",1.53,4.0.3 and up
149,BT Camera,PHOTOGRAPHY,3.3,1307,6.6,"500,000+",Free,0.0,Everyone,Photography,"February 24, 2017",1.8,2.3 and up
152,Dr. Panda's Swimming Pool,FAMILY,4.4,2311,9.3,"100,000+",Paid,1.99,Everyone,Casual;Pretend Play,"January 15, 2015",1.01,4.0 and up
153,TN Patta /Chitta /EC New,SOCIAL,4.8,5,3.0,100+,Free,0.0,Teen,Social,"July 20, 2018",1.0,4.0 and up
155,Pushbullet - SMS on PC,PRODUCTIVITY,4.5,176873,4.5,"1,000,000+",Free,0.0,Everyone,Productivity,"October 30, 2017",17.7.20,4.1 and up
156,"XOS - Launcher,Theme,Wallpaper",PERSONALIZATION,4.6,49657,8.7,"5,000,000+",Free,0.0,Everyone,Personalization,"August 6, 2018",3.6.21_pre,4.4 and up
157,Adult Dirty Emojis,DATING,2.8,80,5.5,"10,000+",Free,0.0,Teen,Dating,"November 6, 2017",1.0,4.0.3 and up
158,Feel Performer,COMMUNICATION,2.2,62,34.0,"10,000+",Free,0.0,Everyone,Communication,"April 9, 2018",2.0.3,4.1 and up
160,Differential Equations Steps,FAMILY,3.6,1185,3.9,"100,000+",Free,0.0,Everyone,Education,"April 11, 2017",5.3.0,4.0.3 and up
163,Bi-Tank,GAME,4.6,12,18.0,50+,Free,0.0,Everyone,Arcade,"July 31, 2017",Varies with device,4.1 and up
164,"theScore: Live Sports Scores, News, Stats & Videos",SPORTS,4.4,133833,34.0,"10,000,000+",Free,0.0,Everyone 10+,Sports,"July 25, 2018",6.17.2,4.4 and up
165,Figment AR,FAMILY,3.7,22,90.0,"5,000+",Free,0.0,Everyone,Entertainment,"July 10, 2018",1.0,7.0 and up
166,USAA Mobile,FINANCE,4.5,100997,33.0,"5,000,000+",Free,0.0,Everyone,Finance,"July 27, 2018",8.44.2,5.0 and up
168,EV Connect,MAPS_AND_NAVIGATION,2.8,25,5.8,"1,000+",Free,0.0,Everyone,Maps & Navigation,"August 6, 2018",2.10.0,5.0 and up
169,CR Calculator,TOOLS,4.3,297,2.8,"50,000+",Free,0.0,Everyone,Tools,"January 27, 2018",2.2,4.0 and up
170,Google News,NEWS_AND_MAGAZINES,3.9,877635,13.0,"1,000,000,000+",Free,0.0,Teen,News & Magazines,"August 1, 2018",5.2.0,4.4 and up
171,POLARIS 2MFG,FAMILY,4.8,1228,29.0,"10,000+",Free,0.0,Everyone,Education,"March 28, 2018",1.7,4.1 and up
172,Loop - Habit Tracker,PRODUCTIVITY,4.7,17955,3.8,"1,000,000+",Free,0.0,Everyone,Productivity,"May 23, 2018",1.7.9,4.0.3 and up
173,BL Driver,MAPS_AND_NAVIGATION,3.9,230,12.0,"10,000+",Free,0.0,Everyone,Maps & Navigation,"July 13, 2018",2.12.1,4.1 and up
174,LEGO® DC Mighty Micros,FAMILY,4.3,139545,63.0,"10,000,000+",Free,0.0,Everyone,Racing;Action & Adventure,"January 30, 2018",1.6.1326,4.1 and up
175,ChargeHub - Find EV & Tesla Charging Stations,MAPS_AND_NAVIGATION,4.6,796,25.0,"50,000+",Free,0.0,Everyone,Maps & Navigation,"May 18, 2018",6.7.0,4.0.3 and up
176,Adult Color By Number Book: Number Coloring Pages,FAMILY,4.2,2231,37.0,"500,000+",Free,0.0,Everyone,Entertainment,"July 23, 2018",2.9,4.4 and up
177,Listen and learn English in seven days,EDUCATION,4.3,1516,3.9,"100,000+",Free,0.0,Everyone,Education,"July 28, 2018",3.1,4.1 and up
179,BD Field Force,PRODUCTIVITY,4.2,41,15.0,"1,000+",Free,0.0,Everyone,Productivity,"August 1, 2018",1.3.13,4.3 and up
180,Six Packs for Man–Body Building with No Equipment,HEALTH_AND_FITNESS,4.6,2880,7.1,"100,000+",Free,0.0,Everyone,Health & Fitness,"July 24, 2018",1.0.8,4.1 and up
181,Garden Photo Frames - Garden Photo Editor,PHOTOGRAPHY,4.4,1864,13.0,"500,000+",Free,0.0,Everyone,Photography,"May 3, 2018",22.0,4.0.3 and up
183,Age Calculator,TOOLS,4.4,24265,3.3,"1,000,000+",Free,0.0,Everyone,Tools,"July 25, 2017",4.0.6,4.0.3 and up
184,EV Trip Optimizer for Tesla,AUTO_AND_VEHICLES,3.2,46,6.6,"1,000+",Free,0.0,Everyone,Auto & Vehicles,"June 26, 2018",3.4,4.1 and up
185,Arena of Valor: 5v5 Arena Game,GAME,4.4,438911,99.0,"10,000,000+",Free,0.0,Teen,Action,"June 28, 2018",1.23.1.2,4.0.3 and up
186,CP Channel,FAMILY,4.6,7,12.0,500+,Free,0.0,Everyone 10+,Education,"March 21, 2018",1.1.0,4.1 and up
188,US DV Lottery 2019,TRAVEL_AND_LOCAL,4.6,14,4.0,"1,000+",Free,0.0,Everyone,Travel & Local,"April 12, 2018",1.0,4.0 and up
189,CK FFXIV Companion,FAMILY,4.3,1364,5.2,"100,000+",Free,0.0,Everyone,Entertainment,"July 12, 2018",4.3.5,2.3 and up
191,Live Weather Pro,WEATHER,4.8,892,17.0,"10,000+",Free,0.0,Everyone,Weather,"July 17, 2018",1.1,4.4 and up
192,IBM Micromedex Drug Info,MEDICAL,3.8,206,9.5,"10,000+",Paid,2.99,Everyone,Medical,"April 25, 2018",1.17.0,4.0 and up
193,AI with Python Tutorial,FAMILY,4.4,8,3.3,"5,000+",Free,0.0,Everyone,Education,"June 5, 2018",1.0.4,4.1 and up
194,Subway Surfers,GAME,4.5,27723193,76.0,"1,000,000,000+",Free,0.0,Everyone 10+,Arcade,"July 12, 2018",1.90.0,4.1 and up
196,EZ-ELD Update,AUTO_AND_VEHICLES,3.1,14,4.6,"1,000+",Free,0.0,Everyone,Auto & Vehicles,"February 9, 2018",16.00,4.3 and up
197,FD VR - Virtual App Launcher,LIBRARIES_AND_DEMO,4.1,1463,7.4,"100,000+",Free,0.0,Everyone,Libraries & Demo,"November 30, 2016",3.6.1,4.4 and up
198,Third Eye,TOOLS,4.4,19877,4.5,"1,000,000+",Free,0.0,Everyone,Tools,"January 7, 2018",1.1.6,4.0 and up
200,Dr. Battery - Fast Charger - Super Cleaner 2018,TOOLS,4.5,101738,10.0,"1,000,000+",Free,0.0,Everyone,Tools,"July 26, 2018",2.2.82,4.0 and up
201,C++ Programming,EDUCATION,4.3,11904,1.8,"1,000,000+",Free,0.0,Everyone,Education,"August 22, 2015",2.0,2.3 and up
202,Ham Radio Prefixes,COMMUNICATION,3.7,218,3.7,"10,000+",Free,0.0,Everyone,Communication,"July 12, 2014",1.12,2.3 and up
203,Jobs in Canada - Emplois au Canada,BUSINESS,5.0,2,14.0,"1,000+",Free,0.0,Teen,Business,"August 5, 2018",1.1,4.2 and up
206,Miraculous Ladybug & Cat Noir - The Official Game,GAME,4.5,185382,99.0,"10,000,000+",Free,0.0,Everyone,Action,"July 30, 2018",1.0.6,4.4 and up
207,Offroad Car G,FAMILY,4.3,64884,37.0,"5,000,000+",Free,0.0,Everyone,Simulation,"July 12, 2016",1,2.3.3 and up
208,"PowerDirector Video Editor App: 4K, Slow Mo & More",VIDEO_PLAYERS,4.5,712737,50.0,"10,000,000+",Free,0.0,Everyone,Video Players & Editors,"July 24, 2018",4.13.3,4.3 and up
209,AK 47 Guns Wallpaper,PERSONALIZATION,4.2,322,6.8,"50,000+",Free,0.0,Everyone,Personalization,"May 29, 2017",1.0,4.1 and up
210,Weight Watchers Mobile,HEALTH_AND_FITNESS,4.2,270294,58.0,"5,000,000+",Free,0.0,Everyone,Health & Fitness,"July 31, 2018",6.15.0,4.1 and up
211,FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506,17.0,"1,000,000+",Free,0.0,Everyone,Books & Reference,"July 20, 2018",2.3.18,4.1 and up
213,boattheory.ch Full 2018,FAMILY,4.7,54,50.0,"1,000+",Paid,19.4,Everyone,Education,"November 18, 2017",3.1.2,4.2 and up
215,Berner Zeitung,NEWS_AND_MAGAZINES,3.4,736,8.5,"50,000+",Free,0.0,Teen,News & Magazines,"August 3, 2018",7.5.9.1,4.1 and up
216,Patook - make platonic friends,SOCIAL,4.0,3677,50.0,"100,000+",Free,0.0,Mature 17+,Social,"June 21, 2018",10.6.3,5.0 and up
217,ZenUI Launcher,PERSONALIZATION,4.7,1141545,15.0,"50,000,000+",Free,0.0,Everyone,Personalization,"July 31, 2018",Varies with device,Varies with device
218,Walking: Pedometer diet,HEALTH_AND_FITNESS,3.7,1861,1.5,"1,000,000+",Free,0.0,Everyone,Health & Fitness,"June 18, 2018",1.5,2.3 and up
219,SilverSingles: The 50+ Dating App,DATING,3.3,149,16.0,"10,000+",Free,0.0,Mature 17+,Dating,"July 31, 2018",4.8.5,4.0.3 and up
220,My MLS App,LIFESTYLE,4.1,1213,13.0,"100,000+",Free,0.0,Everyone,Lifestyle,"June 4, 2018",2.8.4,4.0.3 and up
223,BN Pro ArialXL Legacy Text,LIBRARIES_AND_DEMO,4.1,142,0.431640625,"10,000+",Free,0.0,Everyone,Libraries & Demo,"February 5, 2017",2.3.2,1.6 and up
226,Just She - Top Lesbian Dating,DATING,1.9,953,19.0,"100,000+",Free,0.0,Mature 17+,Dating,"July 18, 2018",6.3.7,5.0 and up
